ComplexID	ComplexName	Organism	Synonyms	Cell line	subunits(UniProt IDs)	subunits(Entrez IDs)	Protein complex purification method	GO ID	GO description	FunCat ID	FunCat description	subunits(Protein name)	Disease comment	subunits(Gene name syn)	SWISSPROT organism	subunits(Gene name)	Complex comment	Subunits comment	PubMed ID
5709	ArgBP2a-CBL-PTK2B complex	Human	None	None	O94875;P22681;Q14289	8470;867;2185	MI:0019- coimmunoprecipitation	GO:0006886;GO:0006605;GO:0015031;GO:0030036;GO:0030182	intracellular protein transport;protein targeting;protein transport;actin cytoskeleton organization;neuron differentiation	14.04;20.01.10;42.04.03;43.03.13	protein targeting, sorting and translocation;protein transport;actin cytoskeleton;neuron	Sorbin and SH3 domain-containing protein 2 ;E3 ubiquitin-protein ligase CBL ;Protein-tyrosine kinase 2-beta	None	ARGBP2 KIAA0777;CBL2 RNF55;FAK2 PYK2 RAFTK	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	SORBS2;CBL;PTK2B	None	None	15128873
5710	PRMT2 homo-oligomer complex	Human	None	None	P55345	3275	MI:0096- pull down	GO:0030545	receptor regulator activity	18.02.07	regulator of receptor activity	Protein arginine N-methyltransferase 2	None	HMT1 HRMT1L1	Homo sapiens (Human)	PRMT2	None	Oligomer	12039952
5712	FAK-beta5 integrin complex, VEGF induced	Human	None	brain	P18084;Q05397	3693;5747	MI:0006-anti bait coimmunoprecipitation	GO:0007169;GO:0001525;GO:0007044	transmembrane receptor protein tyrosine kinase signaling pathway;angiogenesis;cell-substrate junction assembly	30.05.01.12;41.05.16;42.06.03	transmembrane receptor protein tyrosine kinase signalling pathways;angiogenesis;cell-substrate adherens junction	Integrin beta-5;Focal adhesion kinase 1	None	;FAK FAK1	Homo sapiens (Human);Homo sapiens (Human)	ITGB5;PTK2	VEGF induces the formation of FAK-beta5 integrin complex.	None	12844492
5713	SH3P2/OSTF1-CBL-SRC complex	Human	None	None	P12931;P22681;Q92882	6714;867;26578	MI:0019- coimmunoprecipitation; MI:0047- far western blotting	GO:0007155;GO:0015629	cell adhesion;actin cytoskeleton	34.07;70.04.03	cell adhesion;actin cytoskeleton	Proto-oncogene tyrosine-protein kinase Src ;E3 ubiquitin-protein ligase CBL ;Osteoclast-stimulating factor 1	None	SRC1;CBL2 RNF55;	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	SRC;CBL;OSTF1	None	None	15135048
5714	eNOS-CAV1 complex	Human	None	None	P29474;Q03135	4846;857	MI:0006- anti bait coimmunoprecipitation	GO:0006808;GO:0051171;GO:0007263	regulation of nitrogen utilization;regulation of nitrogen compound metabolic process;nitric oxide mediated signal transduction	01.02.07.01;30.01.09.01	regulation of nitrogen metabolism;NO mediated signal transduction	Nitric oxide synthase, endothelial ;Caveolin-1	None	;CAV	Homo sapiens (Human);Homo sapiens (Human)	NOS3;CAV1	None	None	11425855
5716	eNOS-HSP90 complex, VEGF induced	Human	None	None	P07900;P29474	3320;4846	MI:0006- anti bait coimmunoprecipitation	GO:0006809;GO:0006808;GO:0051171;GO:0007263;GO:0007169;GO:0001525	nitric oxide biosynthetic process;regulation of nitrogen utilization;regulation of nitrogen compound metabolic process;nitric oxide mediated signal transduction;transmembrane receptor protein tyrosine kinase signaling pathway;angiogenesis	01.02.02.07;01.02.07.01;30.01.09.01;30.05.01.12;41.05.16	nitric oxide biosynthesis;regulation of nitrogen metabolism;NO mediated signal transduction;transmembrane receptor protein tyrosine kinase signalling pathways;angiogenesis	Heat shock protein HSP 90-alpha ;Nitric oxide synthase, endothelial	None	HSP90A HSPC1 HSPCA;	Homo sapiens (Human);Homo sapiens (Human)	HSP90AA1;NOS3	VEGF stimulation promotes dissociation of eNOS and Caveolin and association of eNOS with HSP90.	None	11425855
5718	eNOS-HSP90-AKT complex, VEGF induced	Human	None	None	P07900;P29474;P31749	3320;4846;207	MI:0006- anti bait coimmunoprecipitation	GO:0006809;GO:0006808;GO:0051171;GO:0007263;GO:0007169;GO:0001525	nitric oxide biosynthetic process;regulation of nitrogen utilization;regulation of nitrogen compound metabolic process;nitric oxide mediated signal transduction;transmembrane receptor protein tyrosine kinase signaling pathway;angiogenesis	01.02.02.07;01.02.07.01;30.01.09.01;30.05.01.12;41.05.16	nitric oxide biosynthesis;regulation of nitrogen metabolism;NO mediated signal transduction;transmembrane receptor protein tyrosine kinase signalling pathways;angiogenesis	Heat shock protein HSP 90-alpha ;Nitric oxide synthase, endothelial ;RAC-alpha serine/threonine-protein kinase	None	HSP90A HSPC1 HSPCA;;PKB RAC	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	HSP90AA1;NOS3;AKT1	VEGF stimulation promotes association of eNOS with HSP90 and AKT.	None	11425855
5719	eNos3-Calmodulin complex	Rat	None	None	P62161;Q62600	None;24600	MI:0006- anti bait coimmunoprecipitation	GO:0006808;GO:0051171;GO:0007263;GO:0019722	regulation of nitrogen utilization;regulation of nitrogen compound metabolic process;nitric oxide mediated signal transduction;calcium-mediated signaling	01.02.07.01;30.01.09.01;30.01.09.03	regulation of nitrogen metabolism;NO mediated signal transduction;Ca2+ mediated signal transduction	Calmodulin ;Nitric oxide synthase, endothelial	None	Calm Cam Cam1; Cam2 Camb; Cam3 Camc;	Rattus norvegicus (Rat);Rattus norvegicus (Rat)	Calm1; Cal;Nos3	None	None	9856995
5720	CIN85-CBL complex	Human	None	HEK 293T cells	P22681;Q96B97	867;30011	MI:0007- anti tag coimmunoprecipitation	GO:0006900;GO:0016050;GO:0006897	membrane budding;vesicle organization;endocytosis	20.09.07.25;20.09.18.09.01	vesicle formation;endocytosis	E3 ubiquitin-protein ligase CBL ;SH3 domain-containing kinase-binding protein 1	None	CBL2 RNF55;CIN85	Homo sapiens (Human);Homo sapiens (Human)	CBL;SH3KBP1	None	None	11894095
5721	CIN85-CBL-SH3GL2 complex	Human	None	HEK 293T cells	P22681;Q96B97;Q99962	867;30011;6456	MI:0019- coimmunoprecipitation	GO:0006900;GO:0016050;GO:0006897	membrane budding;vesicle organization;endocytosis	20.09.07.25;20.09.18.09.01	vesicle formation;endocytosis	E3 ubiquitin-protein ligase CBL ;SH3 domain-containing kinase-binding protein 1 ;Endophilin-A1	None	CBL2 RNF55;CIN85;CNSA2 SH3D2A	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	CBL;SH3KBP1;SH3GL2	Endogenous or overexpressed Cbl co-precipitated with endophilin A1 only in the presence of CIN85, indicating that CIN85 acts as a linker between Cbl and endophilins.	None	11894095
5722	Cbl-Cd2ap complex	Mouse	None	NIH 3T3 cells	P22682;Q9JLQ0	12402;12488	MI:0006- anti bait coimmunoprecipitation	GO:0005515;GO:0006897;GO:0030133	protein binding;endocytosis;transport vesicle	16.01;20.09.18.09.01;70.09	protein binding;endocytosis;intracellular transport vesicles	E3 ubiquitin-protein ligase CBL ;CD2-associated protein	None	;Mets1	Mus musculus (Mouse);Mus musculus (Mouse)	Cbl;Cd2ap	None	None	15001553
5723	Cbl-Cd2ap-Flt1 complex	Mouse	None	NIH 3T3 cells	P22682;P35969;Q9JLQ0	12402;14254;12488	MI:0006- anti bait coimmunoprecipitation	GO:0016567;GO:0016579;GO:0006897;GO:0007169;GO:0001525;GO:0030133	protein ubiquitination;protein deubiquitination;endocytosis;transmembrane receptor protein tyrosine kinase signaling pathway;angiogenesis;transport vesicle	14.07.05;20.09.18.09.01;30.05.01.12;41.05.16;70.09	modification by ubiquitination, deubiquitination;endocytosis;transmembrane receptor protein tyrosine kinase signalling pathways;angiogenesis;intracellular transport vesicles	E3 ubiquitin-protein ligase CBL ;Vascular endothelial growth factor receptor 1 ;CD2-associated protein	None	;Emrk2 Flt Vegfr1;Mets1	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	Cbl;Flt1;Cd2ap	After VEGF stimulation the Cbl-Cda2p complex binds to activated Flt-1 and plays a crucial role in endocytosis and subsequent ubiquitination of Flt-1.	None	15001553
5724	CIN85-SH3GL3-CBL complex	Human	None	HEK 293T cells	P22681;Q96B97;Q99963	867;30011;6457	MI:0006- anti bait coimmunoprecipitation	GO:0006900;GO:0016050;GO:0006897;GO:0007169	membrane budding;vesicle organization;endocytosis;transmembrane receptor protein tyrosine kinase signaling pathway	20.09.07.25;20.09.18.09.01;30.05.01.12	vesicle formation;endocytosis;transmembrane receptor protein tyrosine kinase signalling pathways	E3 ubiquitin-protein ligase CBL ;SH3 domain-containing kinase-binding protein 1 ;Endophilin-A3	None	CBL2 RNF55;CIN85;CNSA3 SH3D2C	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	CBL;SH3KBP1;SH3GL3	None	None	11894096
5725	Mdm2-P53 complex	Mouse	None	None	P02340;P23804;P51480;Q9CXW4	22059;17246;12578;67025	MI:0019- coimmunoprecipitation	GO:0007049;GO:0000902;GO:0016049;GO:0008219	cell cycle;cell morphogenesis;cell growth;cell death	10.03;40.01;40.10	cell cycle;cell growth / morphogenesis;cell death	Cellular tumor antigen p53 ;E3 ubiquitin-protein ligase Mdm2 ;Cyclin-dependent kinase inhibitor 2A ;60S ribosomal protein L11	None	P53 Trp53;;P16ink4a;	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	Tp53;Mdm2;Cdkn2a;Rpl11	None	None	15989966
5727	TBP-TAF complex	Human	None	None	P20226;Q15572;Q15573;Q53T94	6908;9013;9015;9014	MI:0004- affinity chromatography technologies	GO:0006351;GO:0003677	transcription, DNA-templated;DNA binding	11;16.03.01	TRANSCRIPTION;DNA binding	TATA-box-binding protein ;TATA box-binding protein-associated factor RNA polymerase I subunit C ;TATA box-binding protein-associated factor RNA polymerase I subunit A ;TATA box-binding protein-associated factor RNA polymerase I subunit B	None	GTF2D1 TF2D TFIID;;;	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	TBP;TAF1C;TAF1A;TAF1B	None	None	7801123
5728	VEGFR2-STAT3 complex, VEGF induced	Bovine	None	BREC cells	P61635;Q28197	508541;407170	MI:0006- anti bait coimmunoprecipitation	GO:0045893;GO:0007169;GO:0001525	positive regulation of transcription, DNA-templated;transmembrane receptor protein tyrosine kinase signaling pathway;angiogenesis	11.02.03.04.01;30.05.01.12;41.05.16	transcription activation;transmembrane receptor protein tyrosine kinase signalling pathways;angiogenesis	Signal transducer and activator of transcription 3;Tyrosine kinase receptor	None	;	Bos taurus (Bovine);Bos taurus (Bovine)	STAT3;flk-1	VEGF promotes STAT3-VEGFR2 complex formation in BREC cells, but not in BAEC cells.	None	12824281
5729	VEGF-VEGFR2 complex	Bovine	None	None	P15691;Q28197	281572;407170	MI:0006- anti bait coimmunoprecipitation	GO:0007169;GO:0001525	transmembrane receptor protein tyrosine kinase signaling pathway;angiogenesis	30.05.01.12;41.05.16	transmembrane receptor protein tyrosine kinase signalling pathways;angiogenesis	Vascular endothelial growth factor A ;Tyrosine kinase receptor	None	VEGF;	Bos taurus (Bovine);Bos taurus (Bovine)	VEGFA;flk-1	None	None	12824281
5730	IKBKG homotrimer complex	Human	None	None	Q9Y6K9	8517	MI:0018- two hybrid; MI:0030- cross-linking studies	GO:0030234;GO:0050790	enzyme regulator activity;regulation of catalytic activity	18.02.01	enzymatic activity regulation / enzyme regulator	NF-kappa-B essential modulator	None	FIP3 NEMO	Homo sapiens (Human)	IKBKG	None	None	12435599
5731	NRP1-VEGFC complex, heparin dependent	Human	None	HDMVEC cells	O14786;P49767	8829;7424	MI:0004- affinity chromatography technologies	GO:0006898;GO:0007169;GO:0001525;GO:0030133	receptor-mediated endocytosis;transmembrane receptor protein tyrosine kinase signaling pathway;angiogenesis;transport vesicle	20.09.18.09.01.01;30.05.01.12;41.05.16;70.09	receptor-mediated endocytosis;transmembrane receptor protein tyrosine kinase signalling pathways;angiogenesis;intracellular transport vesicles	Neuropilin-1 ;Vascular endothelial growth factor C	None	NRP VEGF165R;	Homo sapiens (Human);Homo sapiens (Human)	NRP1;VEGFC	None	None	16816121
5732	NRP2-VEGFC complex	Human	None	HDMVEC cells	O60462;P49767	8828;7424	MI:0004- affinity chromatography technologies; MI:0428- imaging techniques	GO:0006898;GO:0007169;GO:0001525;GO:0030133	receptor-mediated endocytosis;transmembrane receptor protein tyrosine kinase signaling pathway;angiogenesis;transport vesicle	20.09.18.09.01.01;30.05.01.12;41.05.16;70.09	receptor-mediated endocytosis;transmembrane receptor protein tyrosine kinase signalling pathways;angiogenesis;intracellular transport vesicles	Neuropilin-2 ;Vascular endothelial growth factor C	None	VEGF165R2;	Homo sapiens (Human);Homo sapiens (Human)	NRP2;VEGFC	VEGFC colocalizes with NRP2 in endocytotic vesicles.	None	16816121
5733	NRP2-VEGFD complex, heparin dependent	Human	None	HDMVEC cells	O43915;O60462	2277;8828	MI:0004- affinity chromatography technologies; MI:0428- imaging techniques	GO:0006898;GO:0007169;GO:0001525;GO:0030133	receptor-mediated endocytosis;transmembrane receptor protein tyrosine kinase signaling pathway;angiogenesis;transport vesicle	20.09.18.09.01.01;30.05.01.12;41.05.16;70.09	receptor-mediated endocytosis;transmembrane receptor protein tyrosine kinase signalling pathways;angiogenesis;intracellular transport vesicles	Vascular endothelial growth factor D ;Neuropilin-2	None	FIGF;VEGF165R2	Homo sapiens (Human);Homo sapiens (Human)	VEGFD;NRP2	VEGFD colocalizes with NRP2 in endocytotic vesicles.	None	16816121
5734	NRP1-VEGFD complex, heparin dependent	Human	None	HDMVEC cells	O14786;O43915	8829;2277	MI:0004- affinity chromatography technologies	GO:0006898;GO:0007169;GO:0001525;GO:0030133	receptor-mediated endocytosis;transmembrane receptor protein tyrosine kinase signaling pathway;angiogenesis;transport vesicle	20.09.18.09.01.01;30.05.01.12;41.05.16;70.09	receptor-mediated endocytosis;transmembrane receptor protein tyrosine kinase signalling pathways;angiogenesis;intracellular transport vesicles	Neuropilin-1 ;Vascular endothelial growth factor D	None	NRP VEGF165R;FIGF	Homo sapiens (Human);Homo sapiens (Human)	NRP1;VEGFD	None	None	16816121
5735	TGF-beta receptor-SMAD3 complex	Human	None	None	P36897;P37173;P84022	7046;7048;4088	MI:0019- coimmunoprecipitation	GO:0007179;GO:0008083	transforming growth factor beta receptor signaling pathway;growth factor activity	30.05.01.18.01;40.02.03.05	TGF-beta-receptor signalling pathway;growth factors	TGF-beta receptor type-1 ;TGF-beta receptor type-2 ;Mothers against decapentaplegic homolog 3	None	ALK5 SKR4;;MADH3	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	TGFBR1;TGFBR2;SMAD3	None	None	8774881
5736	Pre-initiation complex (PIC)	Human	None	None	P20226;P24928;P60709	6908;5430;60	MI:0019- coimmunoprecipitation; MI:0047- far western blotting	GO:0006352;GO:0003676	DNA-templated transcription, initiation;nucleic acid binding	11.02.03.01.01;16.03	transcription initiation;nucleic acid binding	TATA-box-binding protein ;DNA-directed RNA polymerase II subunit RPB1 ;Actin, cytoplasmic 1	None	GTF2D1 TF2D TFIID;POLR2;	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	TBP;POLR2A;ACTB	Actin is required for the initiation of transcription (for the formation of pre-initiation complexes).	None	15502823
5737	Multicomponent signaling complex, anti-CD40 stimulated (Birc2, Birc3, Cd40, Ikbkg, Map2k4, Map2k7, Map3k1, Traf2, Ube2n)	Mouse	None	Splenic B cells	O08863;O88522;P27512;P39429;P47809;P53349;P61089;Q62210;Q8CE90	11796;16151;21939;22030;26398;26401;93765;11797;26400	MI:0006- anti bait coimmunoprecipitation	GO:0000165;GO:0019724;GO:0030183;GO:9999997	MAPK cascade;B cell mediated immunity;B cell differentiation;no GO term corresponding to 73.03.07.02.01.01	30.01.05.01.03;36.25.16.03.01;43.03.07.02.01.01;73.03.07.02.01.01	MAPKKK cascade;humoral response (B-cells);B-cell;B-cell	Baculoviral IAP repeat-containing protein 3 ;NF-kappa-B essential modulator ;Tumor necrosis factor receptor superfamily member 5 ;TNF receptor-associated factor 2 ;Dual specificity mitogen-activated protein kinase kinase 4 ;Mitogen-activated protein kinase kinase kinase 1 ;Ubiquitin-conjugating enzyme E2 N ;Baculoviral IAP repeat-containing protein 2 ;Dual specificity mitogen-activated protein kinase kinase 7	None	;Nemo;Tnfrsf5;;Jnkk1 Mek4 Mkk4 Prkmk4 Sek1 Serk1 Skk1;Mekk Mekk1;Blu;;Mkk7	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	Birc3;Ikbkg;Cd40;Traf2;Map2k4;Map3k1;Ube2n;Birc2;Map2k7	With anti-CD40 as the immunoprecipitating antibody the complex included trace amounts of the MEKK1 substrates MKK4 and MKK7, furthermore it was shown that the amounts of most complex components declined between 10 and 30 min after stimulation.  The results indicate that MAPK signaling, at least by CD40 and other TNFRs, follows a two-stage mechanism based on assembly of a multiprotein complex at the receptor that primes MAP3Ks for activation, but in which kinase activation is delayed until the complex is released to the cytoplasm.	None	18635759
5740	NRP2-VEGFR3 complex	Human	None	HDMVEC cells	O60462;P35916	8828;2324	MI:0004- affinity chromatography technologies	GO:0006898;GO:0007169;GO:0001525;GO:0030133	receptor-mediated endocytosis;transmembrane receptor protein tyrosine kinase signaling pathway;angiogenesis;transport vesicle	20.09.18.09.01.01;30.05.01.12;41.05.16;70.09	receptor-mediated endocytosis;transmembrane receptor protein tyrosine kinase signalling pathways;angiogenesis;intracellular transport vesicles	Neuropilin-2 ;Vascular endothelial growth factor receptor 3	None	VEGF165R2;VEGFR3	Homo sapiens (Human);Homo sapiens (Human)	NRP2;FLT4	None	None	16816121
5742	Multicomponent signaling complex, anti-CD40 stimulated,(Birc2, Birc3, Cd40, Ikbkg, Map3k1, Traf2, Ube2n)	Mouse	None	Splenic B cells	O08863;O88522;P27512;P39429;P53349;P61089;Q62210	11796;16151;21939;22030;26401;93765;11797	MI:0006- anti bait coimmunoprecipitation	GO:0000165;GO:0019724;GO:0030183;GO:9999997	MAPK cascade;B cell mediated immunity;B cell differentiation;no GO term corresponding to 73.03.07.02.01.01	30.01.05.01.03;36.25.16.03.01;43.03.07.02.01.01;73.03.07.02.01.01	MAPKKK cascade;humoral response (B-cells);B-cell;B-cell	Baculoviral IAP repeat-containing protein 3 ;NF-kappa-B essential modulator ;Tumor necrosis factor receptor superfamily member 5 ;TNF receptor-associated factor 2 ;Mitogen-activated protein kinase kinase kinase 1 ;Ubiquitin-conjugating enzyme E2 N ;Baculoviral IAP repeat-containing protein 2	None	;Nemo;Tnfrsf5;;Mekk Mekk1;Blu;	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	Birc3;Ikbkg;Cd40;Traf2;Map3k1;Ube2n;Birc2	With anti-MEKK1 as the immunoprecipitating antibody  it was shown that the apparent dissociation of the complex was not seen like in the anti-CD40 immunoprecipitated complexes,  where the amounts of most complex components declined between 10 and 30 min after stimulation.  The results indicate that MAPK signaling, at least by CD40 and other TNFRs, follows a two-stage mechanism based on assembly of a multiprotein complex at the receptor that primes MAP3Ks for activation, but in which kinase activation is delayed until the complex is released to the cytoplasm.	None	18635759
5743	Membrane-associated multicomponent signaling complex, anti-CD40 stimulated (Cd40, Ikbkg, Map3k1, Traf2, Ube2n)	Mouse	None	Splenic B cells	O88522;P27512;P39429;P53349;P61089	16151;21939;22030;26401;93765	MI:0006- anti bait coimmunoprecipitation	GO:0000165;GO:0019724;GO:0030183;GO:0005886;GO:9999997	MAPK cascade;B cell mediated immunity;B cell differentiation;plasma membrane;no GO term corresponding to 73.03.07.02.01.01	30.01.05.01.03;36.25.16.03.01;43.03.07.02.01.01;70.02;73.03.07.02.01.01	MAPKKK cascade;humoral response (B-cells);B-cell;eukaryotic plasma membrane / membrane attached;B-cell	NF-kappa-B essential modulator ;Tumor necrosis factor receptor superfamily member 5 ;TNF receptor-associated factor 2 ;Mitogen-activated protein kinase kinase kinase 1 ;Ubiquitin-conjugating enzyme E2 N	None	Nemo;Tnfrsf5;;Mekk Mekk1;Blu	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	Ikbkg;Cd40;Traf2;Map3k1;Ube2n	The complex isolated with either CD40, IKK-gamma, or MEKK1-specific antibodies was present in the membrane-containing fraction at 10 min after stimulation but was barely detected after 30 min.	None	18635759
